^2026^|^01^|^015115^|^015^|^08^|^CD^|^6212^|^FAC^|^01^|^51^|^2^|^001^|^100^|^ A^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^CD^|^6212^|^FAH^|^01^|^51^|^2^|^001^|^100^|^ A^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^CD^|^6212^|^FAL^|^01^|^51^|^2^|^004^|^100^|^ A^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^CD^|^6212^|^FAL^|^01^|^51^|^2^|^004^|^100^|^ B^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^CD^|^6213^|^FAC^|^01^|^51^|^2^|^001^|^100^|^ A^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^CD^|^6213^|^FAE^|^01^|^51^|^2^|^009^|^100^|^ A^|^524113^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^CD^|^6213^|^FAL^|^01^|^51^|^2^|^003^|^100^|^ A^|^524113^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^CD^|^6214^|^FAL^|^01^|^51^|^2^|^002^|^100^|^ A^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^CD^|^6214^|^FAL^|^01^|^51^|^2^|^002^|^100^|^ B^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^CD^|^6215^|^FAH^|^01^|^51^|^2^|^003^|^100^|^ A^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^CD^|^6215^|^FAH^|^01^|^51^|^2^|^003^|^100^|^ B^|^524113^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^001^|^100^|^ A^|^521811^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^001^|^100^|^ B^|^522151^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^001^|^100^|^ B^|^524113^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ A^|^521111^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ A^|^521119^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ A^|^521811^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ B^|^521114^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ C^|^521113^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ C^|^521115^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ C^|^521119^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ D^|^523121^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^TJ^|^523121^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^002^|^100^|^ A^|^524113^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4715^|^EBD^|^01^|^51^|^2^|^Z36^|^100^|^ B^|^524113^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4718^|^BMB^|^01^|^51^|^2^|^002^|^100^|^ A^|^521219^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4718^|^BMB^|^01^|^51^|^2^|^001^|^100^|^ A^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4719^|^EBA^|^01^|^51^|^2^|^994^|^001^|^ A^|^511129^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4719^|^EBA^|^01^|^51^|^2^|^994^|^001^|^ A^|^512211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4719^|^EBA^|^01^|^51^|^2^|^004^|^100^|^ A^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4719^|^EBC^|^01^|^51^|^2^|^001^|^100^|^XC^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4719^|^EBC^|^01^|^51^|^2^|^001^|^100^|^XC^|^522151^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015115^|^015^|^08^|^WA^|^4719^|^EBC^|^01^|^51^|^2^|^001^|^100^|^XC^|^524113^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^CD^|^6212^|^AEF^|^01^|^51^|^2^|^I01^|^100^|^ A^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^001^|^100^|^ A^|^521811^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ A^|^521111^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ A^|^521119^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ B^|^521114^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ C^|^521113^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ C^|^521115^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ C^|^521119^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^ D^|^523121^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^994^|^002^|^TJ^|^523121^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4715^|^EBA^|^01^|^51^|^2^|^002^|^100^|^ A^|^524113^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4715^|^EBD^|^01^|^51^|^2^|^974^|^100^|^ A^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4719^|^EBA^|^01^|^51^|^2^|^994^|^001^|^ A^|^511129^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4719^|^EBA^|^01^|^51^|^2^|^994^|^001^|^ A^|^512211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4719^|^EBC^|^01^|^51^|^2^|^001^|^100^|^XC^|^521211^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4719^|^EBC^|^01^|^51^|^2^|^001^|^100^|^XC^|^522151^|^019^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^BMB^|^32^|^52^|^2^|^001^|^100^|^ A^|^524113^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^BMB^|^32^|^52^|^2^|^001^|^100^|^ B^|^521211^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^BMB^|^32^|^52^|^2^|^001^|^100^|^ B^|^522151^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^BMB^|^32^|^52^|^2^|^001^|^100^|^ B^|^524113^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^BMB^|^32^|^52^|^2^|^001^|^100^|^ C^|^524113^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^BMB^|^32^|^52^|^2^|^001^|^100^|^ D^|^521219^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^BMB^|^32^|^52^|^2^|^001^|^100^|^ D^|^522141^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAC^|^32^|^52^|^2^|^002^|^100^|^ A^|^524111^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAC^|^32^|^52^|^2^|^002^|^100^|^ A^|^524113^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAC^|^32^|^52^|^2^|^002^|^100^|^ B^|^524111^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAH^|^32^|^52^|^2^|^003^|^100^|^ A^|^524113^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAH^|^32^|^52^|^2^|^003^|^100^|^ B^|^524111^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAH^|^32^|^52^|^2^|^003^|^100^|^ B^|^524113^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAH^|^32^|^52^|^2^|^002^|^100^|^ A^|^521211^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAH^|^32^|^52^|^2^|^002^|^100^|^ B^|^524111^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAH^|^32^|^52^|^2^|^002^|^100^|^ B^|^524113^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAH^|^32^|^52^|^2^|^002^|^100^|^ C^|^522151^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAH^|^32^|^52^|^2^|^002^|^100^|^ C^|^524113^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAL^|^32^|^52^|^2^|^001^|^100^|^ A^|^524111^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAL^|^32^|^52^|^2^|^001^|^100^|^ A^|^524113^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAL^|^32^|^52^|^2^|^001^|^100^|^ B^|^521211^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAL^|^32^|^52^|^2^|^001^|^100^|^ C^|^524111^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAL^|^32^|^52^|^2^|^001^|^100^|^ D^|^521211^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAL^|^32^|^52^|^2^|^001^|^100^|^ D^|^521213^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAL^|^32^|^52^|^2^|^001^|^100^|^ D^|^522151^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^FAL^|^32^|^52^|^2^|^001^|^100^|^ D^|^524113^|^009^|^A^|^0^|^0^|^ ^|^0^|0|0|0|^ ^|^ ^|^ ^|^ ^|^^|^00^|^^|0|0|^^|^ ^
